,Tweet,ID,Length,Source,Favourites,Reweet_count,Timestamp,sentiment,popularity,sentimentValue
0,ICC and all other cricket boards plz Bring back champions league T20.... @ICC @BCCI @ECB_cricket @CricketAus… https://t.co/rDVJBc1Bhx,1538453008517697536,133,Twitter for Android,0,0,2022-06-19 09:25:54+00:00,-1,Negative,-0.0625
1,"খুন করতে চেয়েছিলেন মেসি! 

#LionelMessi #Messi #PSG #Barcelona #ChampionsLeague #LeandroParedes

https://t.co/ywLfqwgxLa",1538451511620947968,121,Twitter Web App,0,0,2022-06-19 09:19:58+00:00,0,Neutral,0.0
2,"RT @julianoback2: Golaço de bicicleta no #FIFA22 
😎😎💙🖤⚽💪💪🔥.
#PSG #barcelona #futebol #ChampionsLeague 😎😎💪💪 https://t.co/foVfSH6MSV",1538451413830967296,130,PSGBotLive,0,1,2022-06-19 09:19:34+00:00,0,Neutral,0.0
3,"Golaço de bicicleta no #FIFA22 
😎😎💙🖤⚽💪💪🔥.
#PSG #barcelona #futebol #ChampionsLeague 😎😎💪💪 https://t.co/foVfSH6MSV",1538450193783431169,112,Twitter for Android,0,1,2022-06-19 09:14:43+00:00,0,Neutral,0.0
4,"RT @TheMattDP10: 💣CLAMOROSO DI MARZIO | ""FOLLIA DELLA JUVENTUS SUL MERCATO"" https://t.co/RsXUPGgUBO 

#Ronaldo #Juventus #Paratici #Marotta…",1538449057563164674,140,Zona Bianconeri,0,1,2022-06-19 09:10:12+00:00,0,Neutral,0.0
5,"Me acaban de pitar penalti por una entrada aquí en #FIFA22 
😳 WTF 🤯

#ChampionsLeague #Benfica #Barça #Palancas https://t.co/2PlHftcKqz",1538448476861878272,135,Twitter for iPhone,0,0,2022-06-19 09:07:54+00:00,-1,Negative,-0.5
6,"💣CLAMOROSO DI MARZIO | ""FOLLIA DELLA JUVENTUS SUL MERCATO"" https://t.co/RsXUPGgUBO 

#Ronaldo #Juventus #Paratici… https://t.co/MrZznmwfvl",1538447925713551360,138,Twitter for iPhone,2,1,2022-06-19 09:05:43+00:00,0,Neutral,0.0
7,"Ousmane Dembele is 'READY to join Chelsea but insists Thomas Tuchel must give him reassurances'
#News #Business… https://t.co/ZsCREInFAK",1538447340893356032,136,Article Tweetbot,0,0,2022-06-19 09:03:23+00:00,1,Positive,0.2
8,@SmallStreamersC @SmallStreamersR Will we finish within the Top 6 and then to build to finish in a #ChampionsLeague… https://t.co/HPHJq4D0Lk,1538444373247016967,140,Twitter for Android,0,0,2022-06-19 08:51:36+00:00,1,Positive,0.5
9,RT @Chris_e_smithy: 2 autos from one box of #ChampionsLeague #womensfootball #Barcelona #BayernMunich #Topps #martens #euro2022 https://t.c…,1538442947099762689,140,SportsCardBot,0,1,2022-06-19 08:45:56+00:00,0,Neutral,0.0
10,"It's the last Klopp hug. 

What an unbelievable signing. 

Sadio Mané - Liverpool Legend. 

#LFC #LiverpoolFC… https://t.co/vLjVuYr38Z",1538441551130550272,134,Twitter Web App,1,0,2022-06-19 08:40:23+00:00,-1,Negative,-0.125
11,2 autos from one box of #ChampionsLeague #womensfootball #Barcelona #BayernMunich #Topps #martens #euro2022 https://t.co/YR5tSpg6uB,1538441051555475458,131,Twitter for Android,1,1,2022-06-19 08:38:24+00:00,0,Neutral,0.0
12,Anyone know where I can watch the full match between #Steaua &amp; #ACMilan in the 1989 #ChampionsLeagueFinal… https://t.co/uZ08Ni2Vsi,1538440043399942145,134,Twitter for iPhone,0,0,2022-06-19 08:34:23+00:00,1,Positive,0.35
13,RT @Act4pal1: Remember this: #Celtic have been fined by #UEFA for flying #Palestine flags in a #ChampionsLeague play off match against Hapo…,1538438902087921665,140,Twitter for Android,0,4,2022-06-19 08:29:51+00:00,0,Neutral,0.0
14,"RT @LevadiaFCI: On our way to Iceland! ✊🏽💚
 
#fcilevadia #uefa #championsleague https://t.co/hUhTvvrGbq",1538438842511917056,103,Twitter for Android,0,1,2022-06-19 08:29:37+00:00,0,Neutral,0.0
15,"On our way to Iceland! ✊🏽💚
 
#fcilevadia #uefa #championsleague https://t.co/hUhTvvrGbq",1538437218393538561,87,Twitter for iPhone,4,1,2022-06-19 08:23:10+00:00,0,Neutral,0.0
16,"@rubnieto79 @badidibum @PatxoDelaRica @RealSociedad @relevo La única revalorización q cuenta, es si te clasificas p… https://t.co/d6oGptajjR",1538436143825440768,140,Twitter for Android,0,0,2022-06-19 08:18:54+00:00,0,Neutral,0.0
17,"7 Greatest UEFA Champions League Finals Ever
🔻https://t.co/U0AgXQ5Bwb
In this video, we will take a look into histo… https://t.co/EIZFrJ4JKy",1538434900247855106,140,Twitter Web App,2,0,2022-06-19 08:13:57+00:00,1,Positive,1.0
18,"RT @ThePapareSports: ⚽After back to back defeats, St. Mary's fight back to beat undefeated Super Sun!

#CL22 #SriLankaFootball #ChampionsLe…",1538433868361248769,140,Twitter Web App,0,2,2022-06-19 08:09:51+00:00,1,Positive,0.08333333333333333
19,"💡Did you know❓
#paolomaldini and #francobaresi played 196 games together, conceding only 23 goals throughout that w… https://t.co/d349yZJfxi",1538428316964757504,140,Twitter Web App,1,0,2022-06-19 07:47:48+00:00,0,Neutral,0.0
20,"Che ne pensate ? 🔴⚫️

#ACMilan #Milan #Zlatan #Ibrahimovic #Ibra #SerieA #ChampionsLeague #UCL https://t.co/JpgxpVLkED",1538424753295351808,118,Twitter for iPhone,0,0,2022-06-19 07:33:38+00:00,0,Neutral,0.0
21,#fantacalcio Le 📈📉statistiche📈📉 della #ChampionsLeague 21/22 della redazione #FSAMilano #fantastats… https://t.co/MopAQJiLvZ,1538423931232833536,124,PostPickr,0,0,2022-06-19 07:30:22+00:00,0,Neutral,0.0
22,RT @ElmsSchoolRural: @TheElmsSchool pupil Jack doing a great job with Ellen the gilt in the young handler championship class at  @3counties…,1538421937176817665,140,Twitter Web App,0,1,2022-06-19 07:22:26+00:00,1,Positive,0.45
23,"The gentlemen’s football brand
-
-
-
-
#soccer #football #style #worldcup #menwithclass #classygentlemen #elegant… https://t.co/ih9OeVgovS",1538421501757689856,138,IFTTT,0,0,2022-06-19 07:20:43+00:00,1,Positive,0.5
24,World Cup #worldcup #championsleague #premierleague #bundesliga #laliga #football #soccer #europaleague https://t.co/OrnGuga8Ip,1538419399744311298,127,PlayStation®Network,0,0,2022-06-19 07:12:22+00:00,0,Neutral,0.0
